entry_price,stop_loss,take_profit,position_size,type,status,entry_time,strategy,SMA_50,ATR,fib_level,fib_type,trend,mother_bar_high,mother_bar_low,exit_time,exit_price,pnl,duration,result
1.08754,1.0879839999999998,1.0862080000000003,4504.504504505631,Short,TP Hit,2024-05-28 15:30:00,Fib False Breakout Short,1.0875708,0.0022199999999998887,1.08735,50,downtrend,1.08754,1.08713,2024-05-28 18:20:00,1.0862080000000003,6.0,2.8333333333333335,Win
1.07946,1.07973,1.07865,7851.851851852071,Short,SL Hit,2024-05-30 06:40:00,Fib False Breakout Short,1.0797314,0.0009999999999998899,1.07945884,50,downtrend,1.07953,1.07896,2024-05-30 07:10:00,1.07973,-2.12,0.5,Loss
1.08339,1.0835919999999999,1.0827840000000006,10285.148514860985,Short,TP Hit,2024-05-30 22:00:00,Fib False Breakout Short,1.0836405999999998,0.0008099999999999774,1.08331648,618,downtrend,1.08343,1.08312,2024-05-31 01:40:00,1.0827840000000006,6.2328,3.6666666666666665,Win
1.08335,1.083498,1.082906,14037.837837834328,Short,TP Hit,2024-05-30 22:50:00,Fib False Breakout Short,1.0836434,0.0005399999999999849,1.08329356,50,downtrend,1.08339,1.08323,2024-05-31 01:10:00,1.082906,6.232799999999999,2.3333333333333335,Win
1.08335,1.083478,1.0829660000000003,16231.250000011923,Short,TP Hit,2024-05-30 22:50:00,Fib False Breakout Short,1.0836434,0.0005399999999999849,1.08327828,50,downtrend,1.08337,1.08327,2024-05-31 01:10:00,1.0829660000000003,6.2328,2.3333333333333335,Win
1.08335,1.083478,1.0829660000000003,16231.250000011923,Short,TP Hit,2024-05-30 22:50:00,Fib False Breakout Short,1.0836434,0.0005399999999999849,1.08326682,50,downtrend,1.08337,1.08329,2024-05-31 01:10:00,1.0829660000000003,6.2328,2.3333333333333335,Win
1.08315,1.0834380000000001,1.0822859999999999,7213.888888887236,Short,TP Hit,2024-05-31 01:10:00,Fib False Breakout Short,1.0834036,0.00043999999999999595,1.0830146999999999,50,downtrend,1.08335,1.08294,2024-05-31 01:40:00,1.0822859999999999,6.2328,0.5,Win
1.08315,1.0833780000000002,1.0824659999999997,9112.280701749709,Short,TP Hit,2024-05-31 01:10:00,Fib False Breakout Short,1.0834036,0.00043999999999999595,1.08299942,50,downtrend,1.08329,1.08305,2024-05-31 01:40:00,1.0824659999999997,6.232799999999999,0.5,Win
1.08315,1.083368,1.082496,9530.275229355548,Short,TP Hit,2024-05-31 01:10:00,Fib False Breakout Short,1.0834036,0.00043999999999999595,1.0831292,618,downtrend,1.08328,1.08305,2024-05-31 01:40:00,1.082496,6.2328,0.5,Win
1.08193,1.082096,1.0814320000000004,17772.24096386736,Short,SL Hit,2024-05-31 06:40:00,Fib False Breakout Short,1.0823444,0.0007299999999998974,1.0818458000000002,50,downtrend,1.08195,1.08146,2024-05-31 06:40:00,1.082096,-2.9501919999999995,0.0,Loss
1.08521,1.085048,1.085696,17846.840493827658,Long,SL Hit,2024-06-03 05:40:00,Fib False Breakout Long,1.0851666,0.0005599999999998939,1.08529908,618,uptrend,1.08542,1.08516,2024-06-03 05:40:00,1.085048,-2.89118816,0.0,Loss
1.08434,1.0848,1.0829600000000004,6159.487819131707,Short,SL Hit,2024-06-03 12:00:00,Fib False Breakout Short,1.0844426,0.0017000000000000348,1.08396274,618,downtrend,1.08446,1.0839,2024-06-03 13:10:00,1.0848,-2.8333643967999995,1.1666666666666667,Loss
1.08446,1.084932,1.083044,6002.890671186085,Short,SL Hit,2024-06-03 12:50:00,Fib False Breakout Short,1.0843714,0.0022100000000000453,1.084085,50,downtrend,1.08449,1.08409,2024-06-03 13:20:00,1.084932,-2.8333643967999995,0.5,Loss
1.08809,1.087816,1.0889120000000003,9927.116134769829,Long,SL Hit,2024-06-04 21:10:00,Fib False Breakout Long,1.0878012,0.0006700000000001705,1.08813964,50,uptrend,1.08812,1.08795,2024-06-05 03:20:00,1.087816,-2.720029820928,6.166666666666667,Loss
1.08805,1.087988,1.088236,43871.44872464057,Long,SL Hit,2024-06-05 00:20:00,Fib False Breakout Long,1.088098,0.000360000000000138,1.0880959399999999,50,uptrend,1.08815,1.08806,2024-06-05 00:20:00,1.087988,-2.720029820928,0.0,Loss
1.08838,1.088028,1.0894359999999996,7418.263147987394,Long,SL Hit,2024-06-06 06:10:00,Fib False Breakout Long,1.0883798,0.0010099999999999554,1.0887333399999999,50,uptrend,1.08857,1.08823,2024-06-06 06:20:00,1.088028,-2.61122862809088,0.16666666666666666,Loss
1.08821,1.0877620000000001,1.0895539999999992,5712.06262395158,Long,TP Hit,2024-06-06 16:00:00,Fib False Breakout Long,1.0878334,0.0018399999999998418,1.088215,50,uptrend,1.0887,1.08813,2024-06-07 01:50:00,1.0895539999999992,7.677012166587185,9.833333333333334,Win
1.0882,1.08778,1.0894600000000003,6092.866798877458,Long,TP Hit,2024-06-06 17:00:00,Fib False Breakout Long,1.0879308,0.0013499999999999623,1.088215,50,uptrend,1.0883,1.08805,2024-06-07 01:50:00,1.0894600000000003,7.677012166587186,8.833333333333334,Win
1.08952,1.089806,1.088662,10021.274623050575,Short,SL Hit,2024-06-07 09:50:00,Fib False Breakout Short,1.0893135999999999,0.0012799999999999478,1.08891064,618,downtrend,1.08955,1.08884,2024-06-07 11:40:00,1.089806,-2.8660845421925494,1.8333333333333333,Loss
1.08926,1.0895899999999998,1.08827,8685.104673312297,Short,SL Hit,2024-06-07 10:40:00,Fib False Breakout Short,1.0892972,0.0013000000000000789,1.0890900000000001,50,downtrend,1.08933,1.08906,2024-06-07 11:30:00,1.0895899999999998,-2.8660845421925494,0.8333333333333334,Loss
1.074,1.0742239999999998,1.0733280000000007,12283.219466551567,Short,SL Hit,2024-06-12 02:00:00,Fib False Breakout Short,1.074093,0.0007199999999998319,1.07388,50,downtrend,1.07408,1.0737,2024-06-12 05:40:00,1.0742239999999998,-2.751441160504848,3.6666666666666665,Loss
1.08266,1.08156,1.0859599999999996,2451.2839429954984,Long,SL Hit,2024-06-12 18:40:00,Fib False Breakout Long,1.0817656,0.003049999999999997,1.08308554,618,uptrend,1.08332,1.08217,2024-06-12 18:40:00,1.08156,-2.6964123372947513,0.0,Loss
1.0807,1.081182,1.0792539999999997,5482.332138067103,Short,TP Hit,2024-06-13 09:30:00,Fib False Breakout Short,1.0806738,0.0012099999999999334,1.08065738,618,downtrend,1.08094,1.08052,2024-06-13 11:20:00,1.0792539999999997,7.927452271646568,1.8333333333333333,Win
1.07394,1.07409,1.0734899999999996,18673.554239866815,Short,SL Hit,2024-06-13 22:40:00,Fib False Breakout Short,1.0744704,0.0006500000000000394,1.0738276199999999,618,downtrend,1.07396,1.07353,2024-06-14 01:50:00,1.07409,-2.801033135981787,3.1666666666666665,Loss
1.07399,1.0741239999999999,1.0735880000000004,20903.23235809543,Short,SL Hit,2024-06-13 23:30:00,Fib False Breakout Short,1.0741749999999999,0.0005199999999998539,1.07380852,618,downtrend,1.07402,1.07386,2024-06-14 01:50:00,1.0741239999999999,-2.801033135981787,2.3333333333333335,Loss
1.07402,1.074196,1.0734920000000001,15278.362559904654,Short,TP Hit,2024-06-14 04:10:00,Fib False Breakout Short,1.073969,0.0006800000000000139,1.0739067199999999,618,downtrend,1.07406,1.07383,2024-06-14 05:40:00,1.0734920000000001,8.066975431627547,1.5,Win
1.07037,1.070462,1.070094,30981.862164952785,Short,SL Hit,2024-06-17 05:10:00,Fib False Breakout Short,1.0702762,0.00035999999999991594,1.07033,50,downtrend,1.07039,1.07022,2024-06-17 05:20:00,1.070462,-2.850331319175067,0.16666666666666666,Loss
1.07013,1.070838,1.0680060000000002,3945.3738598754776,Short,SL Hit,2024-06-17 07:40:00,Fib False Breakout Short,1.0702182,0.0022400000000000198,1.069595,50,downtrend,1.07039,1.06924,2024-06-17 08:20:00,1.070838,-2.7933246927915656,0.6666666666666666,Loss
1.0731,1.073456,1.0720319999999999,7689.48932285269,Short,SL Hit,2024-06-18 06:50:00,Fib False Breakout Short,1.0728986,0.0013800000000001589,1.0725099999999999,50,downtrend,1.07318,1.07265,2024-06-18 07:10:00,1.073456,-2.7374581989357343,0.3333333333333333,Loss
1.07353,1.07331,1.0741900000000004,12194.13197707132,Long,SL Hit,2024-06-18 18:00:00,Fib False Breakout Long,1.0731431999999999,0.0009500000000000064,1.07387576,50,uptrend,1.07409,1.0735,2024-06-19 06:30:00,1.07331,-2.6827090349570195,12.5,Loss
1.07381,1.07369,1.0741699999999996,22355.90862466084,Long,SL Hit,2024-06-19 00:30:00,Fib False Breakout Long,1.0738724,0.0003500000000000725,1.0738210000000001,618,uptrend,1.07396,1.07376,2024-06-19 01:20:00,1.07369,-2.6827090349570195,0.8333333333333334,Loss
1.07401,1.07417,1.0735299999999994,16431.592839095312,Short,TP Hit,2024-06-19 03:20:00,Fib False Breakout Short,1.0739344,0.000700000000000145,1.07389,50,downtrend,1.07403,1.07378,2024-06-19 06:30:00,1.0735299999999994,7.887164562773638,3.1666666666666665,Win
1.07378,1.0741260000000001,1.0727419999999994,7899.260013909809,Short,SL Hit,2024-06-19 10:10:00,Fib False Breakout Short,1.0737382,0.001180000000000181,1.07345,50,downtrend,1.07389,1.07326,2024-06-19 10:20:00,1.0741260000000001,-2.7331439648142117,0.16666666666666666,Loss
1.07289,1.0733059999999999,1.071642,6438.656455572375,Short,TP Hit,2024-06-20 10:50:00,Fib False Breakout Short,1.073253,0.0017300000000000093,1.072665,50,downtrend,1.07296,1.07248,2024-06-20 11:50:00,1.071642,8.035443256553782,1.0,Win
1.07248,1.072942,1.0710940000000002,6145.432793613059,Short,TP Hit,2024-06-20 12:30:00,Fib False Breakout Short,1.0729347999999999,0.0019100000000000783,1.07217152,618,downtrend,1.07256,1.0713,2024-06-20 15:50:00,1.0710940000000002,8.517569851947007,3.3333333333333335,Win
1.0692,1.07011,1.06647,3307.188294162697,Short,SL Hit,2024-06-21 14:40:00,Fib False Breakout Short,1.0690903999999999,0.0019499999999998963,1.0684813,618,downtrend,1.06972,1.06783,2024-06-24 06:10:00,1.07011,-3.009541347687943,63.5,Loss
1.06906,1.069256,1.0684719999999996,15354.802794319581,Short,SL Hit,2024-06-24 02:10:00,Fib False Breakout Short,1.0691404,0.0009799999999999809,1.0688866,618,downtrend,1.06906,1.06839,2024-06-24 03:30:00,1.069256,-3.009541347687943,1.3333333333333333,Loss
1.06891,1.069324,1.0676680000000003,7269.423545141462,Short,SL Hit,2024-06-24 02:50:00,Fib False Breakout Short,1.0691986,0.0009700000000001374,1.0688866,618,downtrend,1.06913,1.06891,2024-06-24 04:30:00,1.069324,-3.009541347687943,1.6666666666666667,Loss
1.06919,1.069394,1.0685780000000005,14457.600591843384,Short,SL Hit,2024-06-24 03:50:00,Fib False Breakout Short,1.069194,0.0008200000000000429,1.0688866,50,downtrend,1.06923,1.06881,2024-06-24 04:50:00,1.069394,-2.9493505207341846,1.0,Loss
1.06919,1.0693540000000001,1.068698,17983.844638617265,Short,SL Hit,2024-06-24 03:50:00,Fib False Breakout Short,1.069194,0.0008200000000000429,1.06886368,50,downtrend,1.06919,1.06892,2024-06-24 04:30:00,1.0693540000000001,-2.9493505207341846,0.6666666666666666,Loss
1.07326,1.073148,1.0735960000000004,24205.311124951673,Long,TP Hit,2024-06-25 01:30:00,Fib False Breakout Long,1.0732958,0.0005100000000000104,1.0733383,618,uptrend,1.07353,1.07325,2024-06-25 02:10:00,1.0735960000000004,8.132984537991897,0.6666666666666666,Win
1.07358,1.0736800000000002,1.0732799999999993,28736.54536751072,Short,SL Hit,2024-06-25 02:30:00,Fib False Breakout Short,1.073419,0.00039999999999995595,1.073415,50,downtrend,1.0736,1.07324,2024-06-25 02:30:00,1.0736800000000002,-2.8736545367571362,0.0,Loss
1.07075,1.0710039999999998,1.0699880000000008,11087.328527656364,Short,SL Hit,2024-06-25 17:10:00,Fib False Breakout Short,1.0711966,0.0012199999999999989,1.0702850000000002,50,downtrend,1.07076,1.07023,2024-06-25 17:20:00,1.0710039999999998,-2.8161814460219934,0.16666666666666666,Loss
1.07545,1.074808,1.0773760000000001,4298.8439518713685,Long,SL Hit,2024-07-01 08:00:00,Fib False Breakout Long,1.0753348,0.0025100000000000122,1.07601466,50,uptrend,1.0761,1.07531,2024-07-01 11:20:00,1.074808,-2.7598578171015538,3.3333333333333335,Loss
1.079,1.0791920000000002,1.0784239999999994,14086.774274775093,Short,SL Hit,2024-07-04 06:50:00,Fib False Breakout Short,1.078851,0.0008600000000000829,1.07872526,50,downtrend,1.07902,1.07858,2024-07-04 06:50:00,1.0791920000000002,-2.7046606607595227,0.0,Loss
1.08113,1.081086,1.0812619999999997,60240.16926246294,Long,SL Hit,2024-07-04 21:40:00,Fib False Breakout Long,1.081027,0.00026999999999999247,1.0811328,618,uptrend,1.0813,1.08114,2024-07-04 23:20:00,1.081086,-2.6505674475443324,1.6666666666666667,Loss
1.08112,1.08105,1.0813300000000001,37865.24925062548,Long,SL Hit,2024-07-04 22:20:00,Fib False Breakout Long,1.0811250000000001,0.00029999999999996696,1.0811328,50,uptrend,1.0812,1.08111,2024-07-04 23:30:00,1.08105,-2.6505674475443324,1.1666666666666667,Loss
1.08114,1.0810240000000002,1.0814879999999993,22849.71937542493,Long,SL Hit,2024-07-04 23:20:00,Fib False Breakout Long,1.0812082,0.00032999999999994145,1.08117606,618,uptrend,1.0812,1.08109,2024-07-04 23:30:00,1.0810240000000002,-2.6505674475443324,0.16666666666666666,Loss
1.08232,1.081994,1.083298,7642.740492918105,Long,SL Hit,2024-07-05 11:20:00,Fib False Breakout Long,1.0823779999999998,0.0011299999999998533,1.082425,50,uptrend,1.08262,1.08222,2024-07-05 11:50:00,1.081994,-2.4915334006916727,0.5,Loss
1.08269,1.084068,1.0785559999999996,1771.9178031042522,Short,SL Hit,2024-07-05 13:20:00,Fib False Breakout Short,1.0824414,0.0037400000000000766,1.08232,50,downtrend,1.08332,1.08168,2024-07-05 19:20:00,1.084068,-2.441702732677839,6.0,Loss
1.08287,1.0831600000000001,1.0819999999999996,8251.271303528494,Short,SL Hit,2024-07-08 02:20:00,Fib False Breakout Short,1.0830498,0.001100000000000101,1.08281152,618,downtrend,1.08294,1.0825,2024-07-08 03:20:00,1.0831600000000001,-2.3928686780242825,1.0,Loss
1.08287,1.0831600000000001,1.0819999999999996,8251.271303528494,Short,SL Hit,2024-07-08 02:20:00,Fib False Breakout Short,1.0830498,0.001100000000000101,1.08281152,618,downtrend,1.08294,1.08268,2024-07-08 03:20:00,1.0831600000000001,-2.3928686780242825,1.0,Loss
1.08136,1.0815959999999998,1.080652000000001,9733.703097061087,Short,SL Hit,2024-07-09 19:40:00,Fib False Breakout Short,1.08139,0.0008299999999998864,1.0812017600000001,50,downtrend,1.08143,1.0811,2024-07-10 02:40:00,1.0815959999999998,-2.2971539309033107,7.0,Loss
1.08145,1.0813,1.0819000000000003,15314.359539345756,Long,SL Hit,2024-07-10 01:30:00,Fib False Breakout Long,1.0813602,0.0005499999999998284,1.0814537,50,uptrend,1.08161,1.08141,2024-07-10 01:30:00,1.0813,-2.2971539309033107,0.0,Loss
1.08634,1.08596,1.0874800000000002,5803.336246491857,Long,TP Hit,2024-07-11 18:10:00,Fib False Breakout Long,1.086658,0.0011499999999999844,1.0865771800000001,50,uptrend,1.08674,1.08619,2024-07-12 07:50:00,1.0874800000000002,6.615803321001535,13.666666666666666,Win
1.08634,1.0861100000000001,1.08703,9588.12075507667,Long,TP Hit,2024-07-11 18:10:00,Fib False Breakout Long,1.086658,0.0011499999999999844,1.08679348,50,uptrend,1.08674,1.08634,2024-07-11 23:20:00,1.08703,6.615803321001535,5.166666666666667,Win
1.08688,1.086686,1.0874620000000002,12049.401237561226,Long,SL Hit,2024-07-12 01:20:00,Fib False Breakout Long,1.086713,0.0009699999999999154,1.086945,50,uptrend,1.0872,1.08688,2024-07-12 01:50:00,1.086686,-2.337583840087209,0.5,Loss
1.08935,1.089548,1.0887560000000003,12238.122372254895,Short,TP Hit,2024-07-15 05:40:00,Fib False Breakout Short,1.0895984,0.00038999999999989043,1.08918276,50,downtrend,1.08947,1.0893,2024-07-15 06:20:00,1.0887560000000003,7.2694446891164874,0.6666666666666666,Win
1.08937,1.0894759999999999,1.0890520000000001,24231.482297068793,Short,TP Hit,2024-07-16 03:30:00,Fib False Breakout Short,1.0894882,0.0005299999999999194,1.08925436,618,downtrend,1.08937,1.0891,2024-07-16 05:10:00,1.0890520000000001,7.705611370463476,1.6666666666666667,Win
1.08934,1.0894359999999998,1.0890520000000004,26755.59503636664,Short,TP Hit,2024-07-16 04:40:00,Fib False Breakout Short,1.0894144,0.0005299999999999194,1.08925436,618,downtrend,1.08933,1.08923,2024-07-16 05:10:00,1.0890520000000004,7.705611370463476,0.5,Win
1.08873,1.089008,1.087896,10348.063231317843,Short,SL Hit,2024-07-22 08:00:00,Fib False Breakout Short,1.0888732,0.0011399999999999189,1.0885203,50,downtrend,1.08878,1.08836,2024-07-22 09:00:00,1.089008,-2.876761578306365,1.0,Loss
1.08877,1.0890279999999999,1.0879960000000004,11150.238675611708,Short,SL Hit,2024-07-22 08:10:00,Fib False Breakout Short,1.0888862000000001,0.0011399999999999189,1.0885203,50,downtrend,1.0888,1.08817,2024-07-22 09:00:00,1.0890279999999999,-2.876761578306365,0.8333333333333334,Loss
1.08895,1.0894000000000001,1.0876,6137.09136705274,Short,TP Hit,2024-07-22 10:30:00,Fib False Breakout Short,1.0888426,0.0010499999999999954,1.08872,50,downtrend,1.08919,1.08854,2024-07-22 14:10:00,1.0876,8.28507334552233,3.6666666666666665,Win
1.08877,1.08906,1.0879000000000003,9523.072810948444,Short,TP Hit,2024-07-22 12:10:00,Fib False Breakout Short,1.0887652,0.0011499999999999844,1.08852412,50,downtrend,1.08883,1.08844,2024-07-22 12:40:00,1.0879000000000003,8.285073345522331,0.5,Win
1.08877,1.08903,1.0879900000000002,10621.888904518792,Short,TP Hit,2024-07-22 12:10:00,Fib False Breakout Short,1.0887652,0.0011499999999999844,1.08872,50,downtrend,1.0888,1.08855,2024-07-22 12:40:00,1.0879900000000002,8.28507334552233,0.5,Win
1.08551,1.0859800000000002,1.0840999999999994,6933.607480647055,Short,TP Hit,2024-07-23 16:20:00,Fib False Breakout Short,1.086023,0.0014000000000000679,1.0853359,618,downtrend,1.0857,1.08522,2024-07-24 07:30:00,1.0840999999999994,9.776386547716351,15.166666666666666,Win
1.08541,1.085794,1.0842580000000002,8486.446656005104,Short,TP Hit,2024-07-23 17:30:00,Fib False Breakout Short,1.0857234,0.0009200000000000319,1.08531,50,downtrend,1.08561,1.08532,2024-07-24 02:40:00,1.0842580000000002,9.776386547716351,9.166666666666666,Win
