UserID,Movie,Genre,Rating,Timestamp
105,The Godfather,Crime,2.0,2024-05-17
733,Titanic,Romance,2.6,2024-11-13
623,Finding Nemo,Animation,3.8,2023-09-16
510,Titanic,Romance,3.3,2024-10-17
134,Interstellar,Sci-Fi,1.6,2024-11-05
878,Shrek,Comedy,1.6,2024-05-08
628,Interstellar,Sci-Fi,4.8,2024-09-11
895,Shrek,Comedy,3.1,2025-03-16
222,Finding Nemo,Animation,3.9,2024-12-16
529,Pulp Fiction,Crime,1.9,2024-08-12
347,Finding Nemo,Animation,1.5,2023-10-19
682,Finding Nemo,Animation,4.4,2023-11-01
517,Finding Nemo,Animation,2.7,2023-08-03
441,Shrek,Comedy,1.9,2023-12-10
808,Pulp Fiction,Crime,1.5,2024-02-02
476,The Godfather,Crime,4.9,2023-09-28
231,Pulp Fiction,Crime,2.2,2024-04-19
382,Shrek,Comedy,2.4,2023-10-05
206,Pulp Fiction,Crime,2.4,2025-02-10
105,Interstellar,Sci-Fi,2.0,2025-03-20
705,Inception,Sci-Fi,1.3,2024-10-07
536,Inception,Sci-Fi,1.2,2025-07-23
449,Finding Nemo,Animation,4.5,2023-09-02
992,Interstellar,Sci-Fi,3.1,2024-09-15
719,Pulp Fiction,Crime,3.6,2024-11-25
741,Shrek,Comedy,3.4,2024-12-30
119,The Godfather,Crime,1.0,2023-11-12
175,Finding Nemo,Animation,3.7,2024-09-13
936,Pulp Fiction,Crime,3.2,2023-08-08
527,Interstellar,Sci-Fi,1.8,2024-09-13
486,Inception,Sci-Fi,1.2,2024-06-28
584,Interstellar,Sci-Fi,4.2,2024-03-04
103,The Godfather,Crime,2.8,2025-07-12
498,Pulp Fiction,Crime,1.5,2023-12-06
170,Finding Nemo,Animation,4.3,2024-01-01
538,Pulp Fiction,Crime,3.5,2024-02-13
310,Titanic,Romance,2.1,2023-12-09
734,Pulp Fiction,Crime,4.2,2024-02-10
537,Interstellar,Sci-Fi,2.9,2023-10-01
938,Shrek,Comedy,3.0,2024-02-10
295,Shrek,Comedy,3.6,2025-05-19
313,Finding Nemo,Animation,2.1,2024-09-05
931,Inception,Sci-Fi,2.6,2024-11-20
839,Interstellar,Sci-Fi,3.6,2024-05-04
582,Inception,Sci-Fi,4.4,2024-01-20
636,Avengers,Action,4.6,2024-10-22
524,Pulp Fiction,Crime,3.0,2025-03-13
326,Shrek,Comedy,3.5,2024-11-15
927,Shrek,Comedy,1.8,2024-07-31
