Date,Type,Category,Amount
2022-08-01,Income,Bonus,3104
2022-08-02,Expense,Rent,1483
2022-08-25,Expense,Rent,1167
2022-08-16,Expense,Dining,317
2022-08-10,Expense,Groceries,778
2022-08-28,Expense,Entertainment,1469
2022-08-02,Expense,Entertainment,712
2022-08-21,Expense,Groceries,703
2022-09-01,Income,Bonus,3031
2022-09-16,Expense,Rent,885
2022-09-08,Expense,Entertainment,1496
2022-09-08,Expense,Rent,900
2022-09-13,Expense,Rent,370
2022-09-06,Expense,Transport,445
2022-09-04,Expense,Transport,241
2022-10-01,Income,Salary,3194
2022-10-02,Expense,Dining,1035
2022-10-19,Expense,Utilities,536
2022-10-10,Expense,Dining,1136
2022-10-11,Expense,Utilities,475
2022-10-10,Expense,Rent,136
2022-11-01,Income,Bonus,5888
2022-11-10,Expense,Utilities,1213
2022-11-08,Expense,Utilities,822
2022-11-25,Expense,Utilities,726
2022-11-26,Expense,Rent,491
2022-12-01,Income,Salary,5784
2022-12-12,Expense,Groceries,847
2022-12-12,Expense,Groceries,1304
2022-12-18,Expense,Dining,291
2023-01-01,Income,Salary,3098
2023-01-03,Expense,Utilities,491
2023-01-04,Expense,Utilities,1264
2023-01-21,Expense,Utilities,597
2023-02-01,Income,Bonus,5140
2023-02-10,Expense,Dining,54
2023-02-18,Expense,Dining,885
2023-02-08,Expense,Entertainment,389
2023-02-20,Expense,Entertainment,1386
2023-02-14,Expense,Entertainment,129
2023-02-21,Expense,Utilities,1392
2023-02-26,Expense,Groceries,790
2023-03-01,Income,Freelance,4216
2023-03-02,Expense,Groceries,1207
2023-03-18,Expense,Entertainment,1058
2023-03-15,Expense,Utilities,303
2023-04-01,Income,Salary,4363
2023-04-14,Expense,Entertainment,319
2023-04-22,Expense,Dining,828
2023-04-10,Expense,Rent,139
2023-04-18,Expense,Dining,526
2023-04-10,Expense,Transport,1433
2023-05-01,Income,Bonus,5650
2023-05-19,Expense,Groceries,187
2023-05-13,Expense,Entertainment,1382
2023-05-22,Expense,Rent,341
2023-05-07,Expense,Entertainment,967
2023-05-10,Expense,Groceries,404
2023-05-22,Expense,Dining,1365
2023-05-21,Expense,Entertainment,390
2023-06-01,Income,Freelance,3386
2023-06-10,Expense,Dining,248
2023-06-23,Expense,Utilities,1189
2023-06-15,Expense,Dining,230
2023-06-14,Expense,Utilities,373
2023-06-19,Expense,Rent,659
2023-06-26,Expense,Rent,1185
2023-06-19,Expense,Groceries,571
2023-07-01,Income,Bonus,4428
2023-07-11,Expense,Groceries,342
2023-07-20,Expense,Groceries,413
2023-07-04,Expense,Groceries,881
2023-08-01,Income,Bonus,4406
2023-08-26,Expense,Utilities,676
2023-08-24,Expense,Rent,470
2023-08-27,Expense,Utilities,1356
2023-08-18,Expense,Utilities,184
2023-08-28,Expense,Dining,943
2023-09-01,Income,Freelance,4415
2023-09-25,Expense,Transport,252
2023-09-23,Expense,Transport,1315
2023-09-13,Expense,Dining,327
2023-09-09,Expense,Groceries,1464
2023-09-25,Expense,Utilities,507
2023-09-10,Expense,Transport,1075
2023-09-26,Expense,Entertainment,1334
2023-10-01,Income,Bonus,4854
2023-10-04,Expense,Dining,1023
2023-10-03,Expense,Dining,390
2023-10-12,Expense,Groceries,987
2023-10-26,Expense,Entertainment,1476
2023-10-25,Expense,Dining,711
2023-10-24,Expense,Transport,936
2023-11-01,Income,Salary,3166
2023-11-11,Expense,Dining,1341
2023-11-21,Expense,Dining,590
2023-11-12,Expense,Rent,1488
2023-11-27,Expense,Groceries,257
2023-12-01,Income,Freelance,3598
2023-12-09,Expense,Rent,666
2023-12-11,Expense,Groceries,1157
